index,file_change_id,hash,filename,old_path,new_path,change_type,num_lines_added,num_lines_deleted,nloc,complexity,token_count,programming_language,cwe_id
1,224427713756990,eb31d845323618d688ad429479c6dda973056136,general.py,django/contrib/postgres/aggregates/general.py,django/contrib/postgres/aggregates/general.py,ModificationType.MODIFY,4,2,44.0,8.0,254.0,Python,CWE-89
2,172901161591501,eb31d845323618d688ad429479c6dda973056136,mixins.py,django/contrib/postgres/aggregates/mixins.py,django/contrib/postgres/aggregates/mixins.py,ModificationType.MODIFY,2,2,36.0,14.0,351.0,Python,CWE-89
3,113157681559429,eb31d845323618d688ad429479c6dda973056136,test_aggregates.py,tests/postgres_tests/test_aggregates.py,tests/postgres_tests/test_aggregates.py,ModificationType.MODIFY,4,0,396.0,74.0,4261.0,Python,CWE-89
4,18652693578892,9d8adbc07c384ba51c2583ce0819c9abb77dc648,__init__.py,mod_fun/__init__.py,mod_fun/__init__.py,ModificationType.MODIFY,2,2,118,35,1200,Python,CWE-89
5,1325909346881,99cfbcc0c1429096e3479744223ffb4fda276875,group_controller.py,auth/controllers/group_controller.py,auth/controllers/group_controller.py,ModificationType.MODIFY,11,3,66,20,517,Python,CWE-89
6,245563304400492,99cfbcc0c1429096e3479744223ffb4fda276875,user_controller.py,auth/controllers/user_controller.py,auth/controllers/user_controller.py,ModificationType.MODIFY,9,6,65,22,563,Python,CWE-89
7,246072039415289,99cfbcc0c1429096e3479744223ffb4fda276875,test_integration.py,tests/test_auth.py,tests/test_integration.py,ModificationType.RENAME,2,2,69,5,569,Python,CWE-89
8,184448461293990,b290c21a0d8bcdbd55db860afd3cadec97388e72,app.py,app.py,app.py,ModificationType.MODIFY,12,14,122.0,19.0,1005.0,Python,CWE-89
9,17217686377976,fc2c1ea1b8d795094abb15ac73cab90830534e04,model.py,redports-trac/redports/model.py,redports-trac/redports/model.py,ModificationType.MODIFY,4,4,675,164,4914,Python,CWE-89
10,247486054279938,5e112b68c6faad1d4699d02c1ebbb7daf48ef8fb,flair.py,flair.py,flair.py,ModificationType.MODIFY,28,25,56,14,372,Python,CWE-89
11,190404989256803,b07b79a1e92cc62574ba0492cce000ef4a7bd25f,views.py,recordstoreapp/views.py,recordstoreapp/views.py,ModificationType.MODIFY,5,3,98.0,27.0,722.0,Python,CWE-89
12,203919246286501,829a027aca7c17f5a7ec1addca8dd5d5542f86ac,views.py,Data/views.py,Data/views.py,ModificationType.MODIFY,1,1,64,15,727,Python,CWE-89
13,50744441289610,62a6e24efdfa195b70d7df140d8287fdc38eb66d,machine.py,machine.py,machine.py,ModificationType.MODIFY,2,3,182.0,41.0,1496.0,Python,CWE-89
14,145331224149312,628149159ba25adbfc29a3ae1d4b10c7eb936dd3,db.py,core/db.py,core/db.py,ModificationType.MODIFY,48,31,95,30,1098,Python,CWE-89
15,272286465795688,628149159ba25adbfc29a3ae1d4b10c7eb936dd3,stats.py,core/stats.py,core/stats.py,ModificationType.MODIFY,5,4,50,8,508,Python,CWE-89
16,248441797104703,628149159ba25adbfc29a3ae1d4b10c7eb936dd3,victim.py,core/victim.py,core/victim.py,ModificationType.MODIFY,1,1,71,10,1141,Python,CWE-89
17,236163165480839,90bb4fb667d9253d497b619b9adaac83bf0ce0f8,songs.py,app/api/songs.py,app/api/songs.py,ModificationType.MODIFY,5,1,60,17,441,Python,CWE-89
18,17378451669095,90bb4fb667d9253d497b619b9adaac83bf0ce0f8,test_song_relations.py,test/api/test_song_relations.py,test/api/test_song_relations.py,ModificationType.MODIFY,19,0,310,18,2821,Python,CWE-89
19,176597055974229,7cd8d016edc74a78af0d81c948bfafbcc93c937c,postgres_cluster_driver.py,postgraas_server/backends/postgres_cluster/postgres_cluster_driver.py,postgraas_server/backends/postgres_cluster/postgres_cluster_driver.py,ModificationType.MODIFY,20,13,70,13,509,Python,CWE-89
20,267487580141124,7cd8d016edc74a78af0d81c948bfafbcc93c937c,test_postgres_cluster_driver.py,tests/test_integration/backends/postgres_cluster/test_postgres_cluster_driver.py,tests/test_integration/backends/postgres_cluster/test_postgres_cluster_driver.py,ModificationType.MODIFY,1,0,186,16,1357,Python,CWE-89
21,227558565005223,7cd8d016edc74a78af0d81c948bfafbcc93c937c,test_backend_behaviour.py,tests/test_integration/test_backend_behaviour.py,tests/test_integration/test_backend_behaviour.py,ModificationType.MODIFY,1,0,191,23,1163,Python,CWE-89
22,59765960196009,91c364053e0ddf77edc5442914c6f049512678b3,executor.py,tortoise/backends/mysql/executor.py,tortoise/backends/mysql/executor.py,ModificationType.MODIFY,52,15,81.0,14.0,564.0,Python,CWE-89
23,91742932016892,91c364053e0ddf77edc5442914c6f049512678b3,filters.py,tortoise/filters.py,tortoise/filters.py,ModificationType.MODIFY,83,8,291.0,48.0,1886.0,Python,CWE-89
24,174824690164934,07c0cdf36cf6a4345086d07b54423723a496af5e,database.py,app/database.py,app/database.py,ModificationType.MODIFY,53,29,217,32,1399,Python,CWE-89
25,213733901644819,fa2797e656e3dba18f990a2db1f0f029d41f1921,rtxcomplete.py,code/autocomplete/rtxcomplete.py,code/autocomplete/rtxcomplete.py,ModificationType.MODIFY,10,2,104,27,643,Python,CWE-89
26,143546959623552,959dfb6b05991e30b0fa972a1ecdcaae8e1dae6d,methods_upload_user_stats.py,source/daily_cron_jobs/methods_upload_user_stats.py,source/daily_cron_jobs/methods_upload_user_stats.py,ModificationType.MODIFY,4,26,590,85,3387,Python,CWE-89
27,43024168895884,3c867f1cf7447449c81b1aa24ebb1f7ae757489f,web_progress.py,web_progress/models/web_progress.py,web_progress/models/web_progress.py,ModificationType.MODIFY,2,2,330,86,2322,Python,CWE-89
28,44827237319205,3c867f1cf7447449c81b1aa24ebb1f7ae757489f,test_web_progress.py,web_progress/tests/test_web_progress.py,web_progress/tests/test_web_progress.py,ModificationType.MODIFY,32,1,96,15,923,Python,CWE-89
29,260067058487872,82679eb8cd1449cf31d87c9914a072e70168b6eb,base.py,piccolo/engine/base.py,piccolo/engine/base.py,ModificationType.MODIFY,15,0,122,25,580,Python,CWE-89
30,73676342526996,82679eb8cd1449cf31d87c9914a072e70168b6eb,postgres.py,piccolo/engine/postgres.py,piccolo/engine/postgres.py,ModificationType.MODIFY,4,1,437,79,2076,Python,CWE-89
1,39570811643923,2abdf14620f146857dc8e3ffd2b6a754884c331d,ZRPythonExpr.py,src/Products/PageTemplates/ZRPythonExpr.py,src/Products/PageTemplates/ZRPythonExpr.py,ModificationType.MODIFY,2,0,60.0,10.0,393.0,Python,CWE-79
